keyword, link
Interruption of Studies, https://www.imperial.ac.uk/students/success-guide/pgt/getting-started/breaks-in-study/
Interruption of Studies Advice, https://www.imperial.ac.uk/student-support-zone/advice/my-student-status/interrupting-your-studies/
