keyword, link
Mitigation College Policy,https://www.imperial.ac.uk/student-records-and-data/for-current-students/undergraduate-and-taught-postgraduate/exams-assessments-and-regulations/mitigating-circumstances/
Mitigating Circumstances College Union Advice,https://www.imperialcollegeunion.org/advice/academic-issues/mitigating-circumstances
UG Mitigating Circumstances Procedure,https://www.imperial.ac.uk/computing/current-students/student-welfare/exams--mitigating-circumstances/
UG Exams Mitigation Form,https://imperiallondon.sharepoint.com/sites/UG-DocMitigations-CO/Lists/Mitigation_Circumstances_for_assessments/AllItems.aspx
UG CW Mitigation Form,https://imperiallondon.sharepoint.com/sites/UG-DocMitigations-CO/_layouts/15/AccessDenied.aspx?Source=https%3A%2F%2Fimperiallondon%2Esharepoint%2Ecom%2Fsites%2FUG%2DDocMitigations%2DCO&correlation=a9ef58a0%2Df037%2D4000%2Dd051%2D627321c1d153
PG Extension & Mitigating Circumstances,https://www.imperial.ac.uk/computing/current-students/postgraduate-student-welfare/extensions-and-mitigating-circumstances/
MSc CW Extension Request Form,https://www.imperial.ac.uk/media/imperial-college/faculty-of-engineering/computing/public/wellbeing/student-welfare/Coursework-Extension-Request-Form_Computing_MSc.docx
